Year,Country,Disease,Cases,Population,Incidence,Pop_Structure_0_14_Pct,Vaccination_Coverage_Pct
1995,Austria,Tuberculosis,1479.0,7943489.0,18.62,15.0,93.0
1995,Belgium,Tuberculosis,1380.0,10130574.0,13.62,15.0,93.0
1995,Bulgaria,Tuberculosis,3245.0,8427418.0,38.51,15.0,93.0
1995,Croatia,Tuberculosis,2114.0,4658893.0,45.38,15.0,93.0
1995,Cyprus,Tuberculosis,36.0,645399.0,5.58,15.0,93.0
1995,Czechia,Tuberculosis,1851.0,10333161.0,17.91,16.1,94.0
1995,Denmark,Tuberculosis,448.0,5215718.0,8.59,15.0,93.0
1995,Estonia,Tuberculosis,608.0,1448075.0,41.99,15.0,93.0
1995,Finland,Tuberculosis,585.0,5098754.0,11.47,15.0,93.0
1995,France,Tuberculosis,8723.0,59315139.0,14.71,17.7,90.0
1995,Germany,Tuberculosis,12198.0,81538603.0,14.96,13.8,92.0
1995,Greece,Tuberculosis,939.0,10535973.0,8.91,15.0,93.0
1995,Hungary,Tuberculosis,4339.0,10336700.0,41.98,14.4,98.0
1995,Iceland,Tuberculosis,12.0,266978.0,4.49,15.0,93.0
1995,Ireland,Tuberculosis,458.0,3597617.0,12.73,15.0,93.0
1995,Italy,Tuberculosis,5225.0,56844408.0,9.19,12.7,94.0
1995,Latvia,Tuberculosis,1541.0,2500580.0,61.63,15.0,93.0
1995,Liechtenstein,Tuberculosis,1.0,30629.0,3.26,15.0,93.0
1995,Lithuania,Tuberculosis,2362.0,3642991.0,64.84,15.0,93.0
1995,Luxembourg,Tuberculosis,32.0,405650.0,7.89,15.0,93.0
1995,Malta,Tuberculosis,10.0,376433.0,2.66,15.0,93.0
1995,Netherlands,Tuberculosis,1619.0,15424122.0,10.5,15.0,93.0
1995,Norway,Tuberculosis,236.0,4348410.0,5.43,17.0,96.0
1995,Poland,Tuberculosis,15959.0,38580597.0,41.37,15.3,93.0
1995,Portugal,Tuberculosis,5577.0,10008659.0,55.72,15.0,93.0
1995,Romania,Tuberculosis,23271.0,22712394.0,102.46,15.0,93.0
1995,Slovakia,Tuberculosis,1540.0,5356207.0,28.75,15.8,95.0
1995,Slovenia,Tuberculosis,525.0,1989477.0,26.39,15.0,93.0
1995,Spain,Tuberculosis,8764.0,39639726.0,22.11,14.2,95.0
1995,Sweden,Tuberculosis,564.0,8816381.0,6.4,17.5,97.0
1995,United Kingdom,Tuberculosis,6161.0,57943472.0,10.63,17.8,91.0
1996,Austria,Tuberculosis,1488.0,7953067.0,18.71,15.0,93.0
1996,Belgium,Tuberculosis,1352.0,10143047.0,13.33,15.0,93.0
1996,Bulgaria,Tuberculosis,3109.0,8384715.0,37.08,15.0,93.0
1996,Croatia,Tuberculosis,2174.0,4581167.0,47.46,15.0,93.0
1996,Cyprus,Tuberculosis,24.0,656333.0,3.66,15.0,93.0
1996,Czechia,Tuberculosis,1936.0,10321344.0,18.76,16.1,94.0
1996,Denmark,Tuberculosis,484.0,5251027.0,9.22,15.0,93.0
1996,Estonia,Tuberculosis,683.0,1425192.0,47.92,15.0,93.0
1996,Finland,Tuberculosis,601.0,5116826.0,11.75,15.0,93.0
1996,France,Tuberculosis,7656.0,59522297.0,12.86,17.7,90.0
1996,Germany,Tuberculosis,11814.0,81817499.0,14.44,13.8,92.0
1996,Greece,Tuberculosis,945.0,10588332.0,8.92,15.0,93.0
1996,Hungary,Tuberculosis,4278.0,10321229.0,41.45,14.4,98.0
1996,Iceland,Tuberculosis,11.0,267958.0,4.11,15.0,93.0
1996,Ireland,Tuberculosis,434.0,3620065.0,11.99,15.0,93.0
1996,Italy,Tuberculosis,5152.0,56844197.0,9.06,12.7,94.0
1996,Latvia,Tuberculosis,1761.0,2469531.0,71.31,15.0,93.0
1996,Liechtenstein,Tuberculosis,0.0,30923.0,0.0,15.0,93.0
1996,Lithuania,Tuberculosis,2608.0,3615212.0,72.14,15.0,93.0
1996,Luxembourg,Tuberculosis,36.0,411600.0,8.75,15.0,93.0
1996,Malta,Tuberculosis,29.0,378404.0,7.66,15.0,93.0
1996,Netherlands,Tuberculosis,1678.0,15493889.0,10.83,15.0,93.0
1996,Norway,Tuberculosis,217.0,4369957.0,4.97,17.0,96.0
1996,Poland,Tuberculosis,15358.0,38609399.0,39.78,15.3,93.0
1996,Portugal,Tuberculosis,5248.0,10043693.0,52.25,15.0,93.0
1996,Romania,Tuberculosis,24113.0,22656145.0,106.43,15.0,93.0
1996,Slovakia,Tuberculosis,1499.0,5367790.0,27.93,15.8,95.0
1996,Slovenia,Tuberculosis,563.0,1990266.0,28.29,15.0,93.0
1996,Spain,Tuberculosis,8331.0,39808374.0,20.93,14.2,95.0
1996,Sweden,Tuberculosis,493.0,8837496.0,5.58,17.5,97.0
1996,United Kingdom,Tuberculosis,6240.0,58094587.0,10.74,17.8,91.0
1997,Austria,Tuberculosis,1396.0,7964966.0,17.53,15.0,93.0
1997,Belgium,Tuberculosis,1263.0,10170226.0,12.42,15.0,93.0
1997,Bulgaria,Tuberculosis,3437.0,8340936.0,41.21,15.0,93.0
1997,Croatia,Tuberculosis,2054.0,4533028.0,45.31,15.0,93.0
1997,Cyprus,Tuberculosis,47.0,666313.0,7.05,15.0,93.0
1997,Czechia,Tuberculosis,1834.0,10309137.0,17.79,16.1,94.0
1997,Denmark,Tuberculosis,554.0,5275121.0,10.5,15.0,93.0
1997,Estonia,Tuberculosis,744.0,1405996.0,52.92,15.0,93.0
1997,Finland,Tuberculosis,535.0,5132320.0,10.42,15.0,93.0
1997,France,Tuberculosis,6832.0,59726386.0,11.44,17.7,90.0
1997,Germany,Tuberculosis,11163.0,82012162.0,13.61,13.8,92.0
1997,Greece,Tuberculosis,767.0,10629267.0,7.22,15.0,93.0
1997,Hungary,Tuberculosis,4240.0,10301247.0,41.16,14.4,98.0
1997,Iceland,Tuberculosis,10.0,269874.0,3.71,15.0,93.0
1997,Ireland,Tuberculosis,416.0,3654955.0,11.38,15.0,93.0
1997,Italy,Tuberculosis,5176.0,56876364.0,9.1,12.7,94.0
1997,Latvia,Tuberculosis,2003.0,2444912.0,81.93,15.0,93.0
1997,Liechtenstein,Tuberculosis,0.0,31143.0,0.0,15.0,93.0
1997,Lithuania,Tuberculosis,2926.0,3588013.0,81.55,15.0,93.0
1997,Luxembourg,Tuberculosis,38.0,416850.0,9.12,15.0,93.0
1997,Malta,Tuberculosis,11.0,381405.0,2.88,15.0,93.0
1997,Netherlands,Tuberculosis,1486.0,15567107.0,9.55,15.0,93.0
1997,Norway,Tuberculosis,205.0,4392714.0,4.67,17.0,96.0
1997,Poland,Tuberculosis,13967.0,38639341.0,36.15,15.3,93.0
1997,Portugal,Tuberculosis,5112.0,10084196.0,50.69,15.0,93.0
1997,Romania,Tuberculosis,23903.0,22581862.0,105.85,15.0,93.0
1997,Slovakia,Tuberculosis,1298.0,5378932.0,24.13,15.8,95.0
1997,Slovenia,Tuberculosis,481.0,1986989.0,24.21,15.0,93.0
1997,Spain,Tuberculosis,9347.0,39971329.0,23.38,14.2,95.0
1997,Sweden,Tuberculosis,456.0,8844499.0,5.16,17.5,97.0
1997,United Kingdom,Tuberculosis,6355.0,58239312.0,10.91,17.8,91.0
1998,Austria,Tuberculosis,1316.0,7971116.0,16.51,15.0,93.0
1998,Belgium,Tuberculosis,1203.0,10192264.0,11.8,15.0,93.0
1998,Bulgaria,Tuberculosis,4117.0,8283200.0,49.7,15.0,93.0
1998,Croatia,Tuberculosis,2118.0,4536812.0,46.68,15.0,93.0
1998,Cyprus,Tuberculosis,45.0,675215.0,6.66,15.0,93.0
1998,Czechia,Tuberculosis,1805.0,10299125.0,17.53,16.1,94.0
1998,Denmark,Tuberculosis,529.0,5294860.0,9.99,15.0,93.0
1998,Estonia,Tuberculosis,818.0,1393074.0,58.72,15.0,93.0
1998,Finland,Tuberculosis,575.0,5147349.0,11.17,15.0,93.0
1998,France,Tuberculosis,6651.0,59934884.0,11.1,17.7,90.0
1998,Germany,Tuberculosis,10440.0,82057379.0,12.72,13.8,92.0
1998,Greece,Tuberculosis,1152.0,10693250.0,10.77,15.0,93.0
1998,Hungary,Tuberculosis,3999.0,10279724.0,38.9,14.4,98.0
1998,Iceland,Tuberculosis,17.0,272381.0,6.24,15.0,93.0
1998,Ireland,Tuberculosis,424.0,3693386.0,11.48,15.0,93.0
1998,Italy,Tuberculosis,4795.0,56904379.0,8.43,12.7,94.0
1998,Latvia,Tuberculosis,2182.0,2420789.0,90.14,15.0,93.0
1998,Liechtenstein,Tuberculosis,3.0,31320.0,9.58,15.0,93.0
1998,Lithuania,Tuberculosis,3016.0,3562261.0,84.67,15.0,93.0
1998,Luxembourg,Tuberculosis,44.0,422050.0,10.43,15.0,93.0
1998,Malta,Tuberculosis,16.0,384176.0,4.16,15.0,93.0
1998,Netherlands,Tuberculosis,1341.0,15654192.0,8.57,15.0,93.0
1998,Norway,Tuberculosis,244.0,4417599.0,5.52,17.0,96.0
1998,Poland,Tuberculosis,13302.0,38659979.0,34.41,15.3,93.0
1998,Portugal,Tuberculosis,5260.0,10133758.0,51.91,15.0,93.0
1998,Romania,Tuberculosis,25758.0,22526093.0,114.35,15.0,93.0
1998,Slovakia,Tuberculosis,1282.0,5387650.0,23.8,15.8,95.0
1998,Slovenia,Tuberculosis,449.0,1984923.0,22.62,15.0,93.0
1998,Spain,Tuberculosis,9111.0,40143449.0,22.7,14.2,95.0
1998,Sweden,Tuberculosis,446.0,8847625.0,5.04,17.5,97.0
1998,United Kingdom,Tuberculosis,5719.0,58394596.0,9.79,17.8,91.0
1999,Austria,Tuberculosis,1245.0,7982461.0,15.6,15.0,93.0
1999,Belgium,Tuberculosis,1270.0,10213752.0,12.43,15.0,93.0
1999,Bulgaria,Tuberculosis,3530.0,8230371.0,42.89,15.0,93.0
1999,Croatia,Tuberculosis,1770.0,4527460.0,39.09,15.0,93.0
1999,Cyprus,Tuberculosis,39.0,682862.0,5.71,15.0,93.0
1999,Czechia,Tuberculosis,1631.0,10289621.0,15.85,16.1,94.0
1999,Denmark,Tuberculosis,536.0,5313577.0,10.09,15.0,93.0
1999,Estonia,Tuberculosis,754.0,1379237.0,54.67,15.0,93.0
1999,Finland,Tuberculosis,572.0,5159646.0,11.09,15.0,93.0
