Year,Country,Disease,Cases,Population,Incidence,Pop_Structure_0_14_Pct,Vaccination_Coverage_Pct
1999,Austria,Measles,22.0,7982461.0,0.28,15.0,93.0
2000,Austria,Measles,0.0,8002186.0,0.0,15.0,93.0
2001,Austria,Measles,0.0,8020946.0,0.0,15.0,93.0
2002,Austria,Measles,0.0,8063640.0,0.0,15.0,93.0
2003,Austria,Measles,99.0,8100273.0,1.22,15.0,93.0
2004,Austria,Measles,14.0,8142573.0,0.17,15.0,93.0
2005,Austria,Measles,10.0,8201359.0,0.12,15.0,93.0
2006,Austria,Measles,25.0,8254298.0,0.3,15.0,93.0
2007,Austria,Measles,20.0,8282984.0,0.24,15.0,93.0
2008,Austria,Measles,447.0,8307989.0,5.38,15.0,93.0
2009,Austria,Measles,53.0,8335003.0,0.64,15.0,93.0
2010,Austria,Measles,56.0,8351643.0,0.67,15.0,93.0
2011,Austria,Measles,122.0,8375164.0,1.46,15.0,93.0
2012,Austria,Measles,35.0,8408121.0,0.42,15.0,93.0
2013,Austria,Measles,75.0,8451860.0,0.89,15.0,93.0
2014,Austria,Measles,117.0,8507786.0,1.38,15.0,93.0
2015,Austria,Measles,309.0,8584926.0,3.6,15.0,93.0
2016,Austria,Measles,27.0,8700471.0,0.31,15.0,93.0
2017,Austria,Measles,95.0,8772865.0,1.08,15.0,93.0
2018,Austria,Measles,77.0,8822267.0,0.87,15.0,93.0
2019,Austria,Measles,151.0,8858775.0,1.7,15.0,93.0
2020,Austria,Measles,25.0,8901064.0,0.28,15.0,93.0
2021,Austria,Measles,1.0,8932664.0,0.01,15.0,93.0
2022,Austria,Measles,1.0,8978929.0,0.01,15.0,93.0
2023,Austria,Measles,186.0,9104772.0,2.04,15.0,93.0
2024,Austria,Measles,542.0,9158750.0,5.92,15.0,93.0
2025,Austria,Measles,152.0,9158750.0,1.66,15.0,93.0
1998,Austria,Pertussis,113.0,7971116.0,1.42,15.0,93.0
1999,Austria,Pertussis,103.0,7982461.0,1.29,15.0,93.0
2000,Austria,Pertussis,117.0,8002186.0,1.46,15.0,93.0
2001,Austria,Pertussis,253.0,8020946.0,3.15,15.0,93.0
2002,Austria,Pertussis,157.0,8063640.0,1.95,15.0,93.0
2003,Austria,Pertussis,170.0,8100273.0,2.1,15.0,93.0
2004,Austria,Pertussis,130.0,8142573.0,1.6,15.0,93.0
2005,Austria,Pertussis,135.0,8201359.0,1.65,15.0,93.0
2006,Austria,Pertussis,78.0,8254298.0,0.94,15.0,93.0
2007,Austria,Pertussis,136.0,8282984.0,1.64,15.0,93.0
2008,Austria,Pertussis,175.0,8307989.0,2.11,15.0,93.0
2009,Austria,Pertussis,184.0,8335003.0,2.21,15.0,93.0
2010,Austria,Pertussis,435.0,8351643.0,5.21,15.0,93.0
2011,Austria,Pertussis,288.0,8375164.0,3.44,15.0,93.0
