Year,Country,Disease,Cases,Population,Incidence,Pop_Structure_0_14_Pct,Vaccination_Coverage_Pct
1999,Austria,Measles,22.0,7982461.0,0.28,15.0,93.0
1999,Belgium,Measles,0.0,10213752.0,0.0,15.0,93.0
1999,Bulgaria,Measles,0.0,8230371.0,0.0,15.0,93.0
1999,Croatia,Measles,0.0,4527460.0,0.0,15.0,93.0
1999,Cyprus,Measles,0.0,682862.0,0.0,15.0,93.0
1999,Czechia,Measles,0.0,10289621.0,0.0,16.1,94.0
1999,Denmark,Measles,6.0,5313577.0,0.11,15.0,93.0
1999,Estonia,Measles,0.0,1379237.0,0.0,15.0,93.0
1999,Finland,Measles,0.0,5159646.0,0.0,15.0,93.0
1999,France,Measles,0.0,60158533.0,0.0,17.7,90.0
1999,Germany,Measles,0.0,82037011.0,0.0,13.8,92.0
1999,Greece,Measles,68.0,10747768.0,0.63,15.0,93.0
1999,Hungary,Measles,0.0,10253416.0,0.0,14.4,98.0
1999,Iceland,Measles,0.0,275712.0,0.0,15.0,93.0
1999,Ireland,Measles,147.0,3732006.0,3.94,15.0,93.0
1999,Italy,Measles,2908.0,56909109.0,5.11,12.7,94.0
1999,Latvia,Measles,0.0,2399248.0,0.0,15.0,93.0
1999,Liechtenstein,Measles,0.0,32015.0,0.0,15.0,93.0
1999,Lithuania,Measles,0.0,3536401.0,0.0,15.0,93.0
1999,Luxembourg,Measles,0.0,427350.0,0.0,15.0,93.0
1999,Malta,Measles,0.0,386397.0,0.0,15.0,93.0
1999,Netherlands,Measles,3056.0,15760225.0,19.39,15.0,93.0
1999,Norway,Measles,3.0,4445329.0,0.07,17.0,96.0
1999,Poland,Measles,0.0,38666983.0,0.0,15.3,93.0
1999,Portugal,Measles,0.0,10186634.0,0.0,15.0,93.0
1999,Romania,Measles,0.0,22488595.0,0.0,15.0,93.0
1999,Slovakia,Measles,0.0,5393382.0,0.0,15.8,95.0
1999,Slovenia,Measles,0.0,1978334.0,0.0,15.0,93.0
1999,Spain,Measles,0.0,40303568.0,0.0,14.2,95.0
1999,Sweden,Measles,21.0,8854322.0,0.24,17.5,97.0
1999,United Kingdom,Measles,111.0,58579685.0,0.19,17.8,91.0
2000,Austria,Measles,0.0,8002186.0,0.0,15.0,93.0
2000,Belgium,Measles,0.0,10239085.0,0.0,15.0,93.0
2000,Bulgaria,Measles,0.0,8190876.0,0.0,15.0,93.0
2000,Croatia,Measles,0.0,4497735.0,0.0,15.0,93.0
2000,Cyprus,Measles,0.0,690497.0,0.0,15.0,93.0
2000,Czechia,Measles,0.0,10278098.0,0.0,16.1,94.0
2000,Denmark,Measles,14.0,5330020.0,0.26,15.0,93.0
2000,Estonia,Measles,0.0,1401250.0,0.0,15.0,93.0
2000,Finland,Measles,0.0,5171302.0,0.0,15.0,93.0
2000,France,Measles,0.0,60545022.0,0.0,17.7,90.0
2000,Germany,Measles,0.0,82163475.0,0.0,13.8,92.0
2000,Greece,Measles,0.0,10775627.0,0.0,15.0,93.0
2000,Hungary,Measles,0.0,10221644.0,0.0,14.4,98.0
2000,Iceland,Measles,0.0,279049.0,0.0,15.0,93.0
