Time,Year,Month,RegionName,Cases,Population,Incidence
1999-01,1999,1,Austria,2.0,7982461.0,0.025054929
1999-01,1999,1,Belgium,0.0,10213752.0,
1999-01,1999,1,Bulgaria,0.0,8230371.0,
1999-01,1999,1,Croatia,0.0,4527460.0,
1999-01,1999,1,Cyprus,0.0,682862.0,
1999-01,1999,1,Czechia,0.0,10289621.0,
1999-01,1999,1,Denmark,1.0,5313577.0,0.018819714
1999-01,1999,1,Estonia,0.0,1379237.0,
1999-01,1999,1,Finland,0.0,5159646.0,
1999-01,1999,1,France,0.0,60158533.0,
1999-01,1999,1,Germany,0.0,82037011.0,
1999-01,1999,1,Greece,17.0,10747768.0,0.158172375
1999-01,1999,1,Hungary,0.0,10253416.0,
1999-01,1999,1,Iceland,0.0,275712.0,
1999-01,1999,1,Ireland,7.0,3732006.0,0.187566686
1999-01,1999,1,Italy,116.0,56909109.0,0.203833801
1999-01,1999,1,Latvia,0.0,2399248.0,
1999-01,1999,1,Liechtenstein,,32015.0,
1999-01,1999,1,Lithuania,0.0,3536401.0,
1999-01,1999,1,Luxembourg,0.0,427350.0,
1999-01,1999,1,Malta,0.0,386397.0,
1999-01,1999,1,Netherlands,1.0,15760225.0,0.006345087
1999-01,1999,1,Norway,0.0,4445329.0,
1999-01,1999,1,Poland,0.0,38666983.0,
1999-01,1999,1,Portugal,0.0,10186634.0,
1999-01,1999,1,Romania,0.0,22488595.0,
1999-01,1999,1,Slovakia,0.0,5393382.0,
1999-01,1999,1,Slovenia,0.0,1978334.0,
1999-01,1999,1,Spain,0.0,40303568.0,
1999-01,1999,1,Sweden,1.0,8854322.0,0.011293919
1999-01,1999,1,United Kingdom,1.0,58579685.0,0.001707076
1999-02,1999,2,Austria,3.0,7982461.0,0.037582394
1999-02,1999,2,Belgium,0.0,10213752.0,
1999-02,1999,2,Bulgaria,0.0,8230371.0,
1999-02,1999,2,Croatia,0.0,4527460.0,
1999-02,1999,2,Cyprus,0.0,682862.0,
1999-02,1999,2,Czechia,0.0,10289621.0,
1999-02,1999,2,Denmark,0.0,5313577.0,
1999-02,1999,2,Estonia,0.0,1379237.0,
1999-02,1999,2,Finland,0.0,5159646.0,
1999-02,1999,2,France,0.0,60158533.0,
1999-02,1999,2,Germany,0.0,82037011.0,
1999-02,1999,2,Greece,19.0,10747768.0,0.17678089
1999-02,1999,2,Hungary,0.0,10253416.0,
1999-02,1999,2,Iceland,0.0,275712.0,
1999-02,1999,2,Ireland,16.0,3732006.0,0.428723855
1999-02,1999,2,Italy,211.0,56909109.0,0.370766655
