Year,Country,Disease,Cases,Population,Incidence,Pop_Structure_0_14_Pct,Vaccination_Coverage_Pct
1998,Austria,Pertussis,113.0,7971116.0,1.42,15.0,93.0
1998,Belgium,Pertussis,,10192264.0,,15.0,93.0
1998,Bulgaria,Pertussis,,8283200.0,,15.0,93.0
1998,Croatia,Pertussis,,4536812.0,,15.0,93.0
1998,Cyprus,Pertussis,,675215.0,,15.0,93.0
1998,Czechia,Pertussis,,10299125.0,,16.1,94.0
1998,Denmark,Pertussis,344.0,5294860.0,6.5,15.0,93.0
1998,Estonia,Pertussis,,1393074.0,,15.0,93.0
1998,Finland,Pertussis,,5147349.0,,15.0,93.0
1998,France,Pertussis,180.0,59934884.0,0.3,17.7,90.0
1998,Germany,Pertussis,,82057379.0,,13.8,92.0
1998,Greece,Pertussis,85.0,10693250.0,0.79,15.0,93.0
1998,Hungary,Pertussis,,10279724.0,,14.4,98.0
1998,Iceland,Pertussis,3.0,272381.0,1.1,15.0,93.0
1998,Ireland,Pertussis,248.0,3693386.0,6.71,15.0,93.0
1998,Italy,Pertussis,6981.0,56904379.0,12.27,12.7,94.0
1998,Latvia,Pertussis,,2420789.0,,15.0,93.0
1998,Lithuania,Pertussis,96.0,3562261.0,2.69,15.0,93.0
1998,Luxembourg,Pertussis,,422050.0,,15.0,93.0
1998,Malta,Pertussis,4.0,384176.0,1.04,15.0,93.0
1998,Netherlands,Pertussis,2572.0,15654192.0,16.43,15.0,93.0
1998,Norway,Pertussis,2310.0,4417599.0,52.29,17.0,96.0
1998,Poland,Pertussis,,38659979.0,,15.3,93.0
1998,Portugal,Pertussis,9.0,10133758.0,0.09,15.0,93.0
1998,Romania,Pertussis,,22526093.0,,15.0,93.0
1998,Slovakia,Pertussis,,5387650.0,,15.8,95.0
1998,Slovenia,Pertussis,,1984923.0,,15.0,93.0
1998,Spain,Pertussis,106.0,40143449.0,0.26,14.2,95.0
1998,Sweden,Pertussis,1769.0,8847625.0,19.99,17.5,97.0
1998,United Kingdom,Pertussis,386.0,58394596.0,0.66,17.8,91.0
1999,Austria,Pertussis,103.0,7982461.0,1.29,15.0,93.0
1999,Belgium,Pertussis,,10213752.0,,15.0,93.0
1999,Bulgaria,Pertussis,,8230371.0,,15.0,93.0
1999,Croatia,Pertussis,,4527460.0,,15.0,93.0
1999,Cyprus,Pertussis,,682862.0,,15.0,93.0
1999,Czechia,Pertussis,,10289621.0,,16.1,94.0
1999,Denmark,Pertussis,947.0,5313577.0,17.82,15.0,93.0
1999,Estonia,Pertussis,,1379237.0,,15.0,93.0
1999,Finland,Pertussis,,5159646.0,,15.0,93.0
1999,France,Pertussis,195.0,60158533.0,0.32,17.7,90.0
1999,Germany,Pertussis,,82037011.0,,13.8,92.0
1999,Greece,Pertussis,36.0,10747768.0,0.33,15.0,93.0
1999,Hungary,Pertussis,,10253416.0,,14.4,98.0
1999,Iceland,Pertussis,22.0,275712.0,7.98,15.0,93.0
1999,Ireland,Pertussis,179.0,3732006.0,4.8,15.0,93.0
1999,Italy,Pertussis,3798.0,56909109.0,6.67,12.7,94.0
1999,Latvia,Pertussis,,2399248.0,,15.0,93.0
1999,Lithuania,Pertussis,80.0,3536401.0,2.26,15.0,93.0
1999,Luxembourg,Pertussis,,427350.0,,15.0,93.0
1999,Malta,Pertussis,60.0,386397.0,15.53,15.0,93.0
1999,Netherlands,Pertussis,6988.0,15760225.0,44.34,15.0,93.0
1999,Norway,Pertussis,1241.0,4445329.0,27.92,17.0,96.0
1999,Poland,Pertussis,,38666983.0,,15.3,93.0
1999,Portugal,Pertussis,12.0,10186634.0,0.12,15.0,93.0
1999,Romania,Pertussis,,22488595.0,,15.0,93.0
1999,Slovakia,Pertussis,,5393382.0,,15.8,95.0
1999,Slovenia,Pertussis,,1978334.0,,15.0,93.0
1999,Spain,Pertussis,220.0,40303568.0,0.55,14.2,95.0
1999,Sweden,Pertussis,2425.0,8854322.0,27.39,17.5,97.0
1999,United Kingdom,Pertussis,342.0,58579685.0,0.58,17.8,91.0
2000,Austria,Pertussis,117.0,8002186.0,1.46,15.0,93.0
2000,Belgium,Pertussis,,10239085.0,,15.0,93.0
2000,Bulgaria,Pertussis,,8190876.0,,15.0,93.0
2000,Croatia,Pertussis,,4497735.0,,15.0,93.0
2000,Cyprus,Pertussis,,690497.0,,15.0,93.0
2000,Czechia,Pertussis,,10278098.0,,16.1,94.0
2000,Denmark,Pertussis,923.0,5330020.0,17.32,15.0,93.0
2000,Estonia,Pertussis,,1401250.0,,15.0,93.0
2000,Finland,Pertussis,,5171302.0,,15.0,93.0
2000,France,Pertussis,275.0,60545022.0,0.45,17.7,90.0
2000,Germany,Pertussis,,82163475.0,,13.8,92.0
2000,Greece,Pertussis,13.0,10775627.0,0.12,15.0,93.0
2000,Hungary,Pertussis,,10221644.0,,14.4,98.0
2000,Iceland,Pertussis,8.0,279049.0,2.87,15.0,93.0
2000,Ireland,Pertussis,152.0,3777565.0,4.02,15.0,93.0
2000,Italy,Pertussis,2542.0,56923524.0,4.47,12.7,94.0
2000,Latvia,Pertussis,,2381715.0,,15.0,93.0
2000,Lithuania,Pertussis,91.0,3512074.0,2.59,15.0,93.0
2000,Luxembourg,Pertussis,,433600.0,,15.0,93.0
2000,Malta,Pertussis,3.0,388759.0,0.77,15.0,93.0
2000,Netherlands,Pertussis,4359.0,15863950.0,27.48,15.0,93.0
2000,Norway,Pertussis,3445.0,4478497.0,76.92,17.0,96.0
2000,Poland,Pertussis,,38263303.0,,15.3,93.0
2000,Portugal,Pertussis,22.0,10249022.0,0.21,15.0,93.0
2000,Romania,Pertussis,,22455485.0,,15.0,93.0
2000,Slovakia,Pertussis,,5398657.0,,15.8,95.0
2000,Slovenia,Pertussis,,1987755.0,,15.0,93.0
2000,Spain,Pertussis,587.0,40470182.0,1.45,14.2,95.0
2000,Sweden,Pertussis,2705.0,8861426.0,30.53,17.5,97.0
2000,United Kingdom,Pertussis,211.0,58785246.0,0.36,17.8,91.0
2001,Austria,Pertussis,253.0,8020946.0,3.15,15.0,93.0
2001,Belgium,Pertussis,,10263414.0,,15.0,93.0
2001,Bulgaria,Pertussis,,8149468.0,,15.0,93.0
2001,Croatia,Pertussis,,4295406.0,,15.0,93.0
2001,Cyprus,Pertussis,,697549.0,,15.0,93.0
2001,Czechia,Pertussis,,10232027.0,,16.1,94.0
2001,Denmark,Pertussis,919.0,5349212.0,17.18,15.0,93.0
2001,Estonia,Pertussis,,1392720.0,,15.0,93.0
2001,Finland,Pertussis,,5181115.0,,15.0,93.0
2001,France,Pertussis,120.0,60979315.0,0.2,17.7,90.0
2001,Germany,Pertussis,,82259540.0,,13.8,92.0
2001,Greece,Pertussis,93.0,10835989.0,0.86,15.0,93.0
2001,Hungary,Pertussis,,10200298.0,,14.4,98.0
2001,Iceland,Pertussis,3.0,283361.0,1.06,15.0,93.0
2001,Ireland,Pertussis,142.0,3832783.0,3.7,15.0,93.0
2001,Italy,Pertussis,1805.0,56960692.0,3.17,12.7,94.0
2001,Latvia,Pertussis,,2353384.0,,15.0,93.0
2001,Lithuania,Pertussis,162.0,3486998.0,4.65,15.0,93.0
2001,Luxembourg,Pertussis,,439000.0,,15.0,93.0
