Time,Year,RegionName,Cases,Population,Incidence
1998,1998,Austria,113.0,7971116.0,1.41761831
1998,1998,Belgium,,10192264.0,
1998,1998,Bulgaria,,8283200.0,
1998,1998,Croatia,,4536812.0,
1998,1998,Cyprus,,675215.0,
1998,1998,Czechia,,10299125.0,
1998,1998,Denmark,344.0,5294860.0,6.49686677
1998,1998,Estonia,,1393074.0,
1998,1998,Finland,,5147349.0,
1998,1998,France,180.0,59934884.0,
1998,1998,Germany,,82057379.0,
1998,1998,Greece,85.0,10693250.0,0.79489397
1998,1998,Hungary,,10279724.0,
1998,1998,Iceland,3.0,272381.0,1.1013984
1998,1998,Ireland,248.0,3693386.0,6.71470569
1998,1998,Italy,6981.0,56904379.0,12.26794865
1998,1998,Latvia,,2420789.0,
1998,1998,Lithuania,96.0,3562261.0,2.69491763
1998,1998,Luxembourg,,422050.0,
1998,1998,Malta,4.0,384176.0,1.04118945
1998,1998,Netherlands,2572.0,15654192.0,16.43010383
1998,1998,Norway,2310.0,4417599.0,52.29084849
1998,1998,Poland,,38659979.0,
1998,1998,Portugal,9.0,10133758.0,0.08881206
1998,1998,Romania,,22526093.0,
1998,1998,Slovakia,,5387650.0,
1998,1998,Slovenia,,1984923.0,
1998,1998,Spain,106.0,40143449.0,0.26405304
1998,1998,Sweden,1769.0,8847625.0,19.9940662
1998,1998,United Kingdom,386.0,58394596.0,0.66102007
1999,1999,Austria,103.0,7982461.0,1.29032888
1999,1999,Belgium,,10213752.0,
1999,1999,Bulgaria,,8230371.0,
1999,1999,Croatia,,4527460.0,
1999,1999,Cyprus,,682862.0,
1999,1999,Czechia,,10289621.0,
1999,1999,Denmark,947.0,5313577.0,17.82226925
1999,1999,Estonia,,1379237.0,
1999,1999,Finland,,5159646.0,
1999,1999,France,195.0,60158533.0,
1999,1999,Germany,,82037011.0,
1999,1999,Greece,36.0,10747768.0,0.33495326
1999,1999,Hungary,,10253416.0,
1999,1999,Iceland,22.0,275712.0,7.97934076
1999,1999,Ireland,179.0,3732006.0,4.79634813
1999,1999,Italy,3798.0,56909109.0,6.67379979
1999,1999,Latvia,,2399248.0,
1999,1999,Lithuania,80.0,3536401.0,2.26218689
1999,1999,Luxembourg,,427350.0,
1999,1999,Malta,60.0,386397.0,15.52807087
1999,1999,Netherlands,6988.0,15760225.0,44.3394685
1999,1999,Norway,1241.0,4445329.0,27.91694383
1999,1999,Poland,,38666983.0,
1999,1999,Portugal,12.0,10186634.0,0.11780142
1999,1999,Romania,,22488595.0,
1999,1999,Slovakia,,5393382.0,
1999,1999,Slovenia,,1978334.0,
1999,1999,Spain,220.0,40303568.0,0.54585737
1999,1999,Sweden,2425.0,8854322.0,27.38775481
1999,1999,United Kingdom,342.0,58579685.0,0.58382014
2000,2000,Austria,117.0,8002186.0,1.46210048
2000,2000,Belgium,,10239085.0,
2000,2000,Bulgaria,,8190876.0,
2000,2000,Croatia,,4497735.0,
2000,2000,Cyprus,,690497.0,
2000,2000,Czechia,,10278098.0,
2000,2000,Denmark,923.0,5330020.0,17.31700819
2000,2000,Estonia,,1401250.0,
2000,2000,Finland,,5171302.0,
2000,2000,France,275.0,60545022.0,
2000,2000,Germany,,82163475.0,
2000,2000,Greece,13.0,10775627.0,0.12064263
2000,2000,Hungary,,10221644.0,
2000,2000,Iceland,8.0,279049.0,2.86688001
2000,2000,Ireland,152.0,3777565.0,4.02375604
2000,2000,Italy,2542.0,56923524.0,4.4656406
2000,2000,Latvia,,2381715.0,
2000,2000,Lithuania,91.0,3512074.0,2.59106157
2000,2000,Luxembourg,,433600.0,
2000,2000,Malta,3.0,388759.0,0.77168631
2000,2000,Netherlands,4359.0,15863950.0,27.47739371
2000,2000,Norway,3445.0,4478497.0,76.92312845
2000,2000,Poland,,38263303.0,
2000,2000,Portugal,22.0,10249022.0,0.21465462
2000,2000,Romania,,22455485.0,
2000,2000,Slovakia,,5398657.0,
2000,2000,Slovenia,,1987755.0,
2000,2000,Spain,587.0,40470182.0,1.4504506
2000,2000,Sweden,2705.0,8861426.0,30.52556101
2000,2000,United Kingdom,211.0,58785246.0,0.3589336
2001,2001,Austria,253.0,8020946.0,3.1542414
2001,2001,Belgium,,10263414.0,
2001,2001,Bulgaria,,8149468.0,
2001,2001,Croatia,,4295406.0,
2001,2001,Cyprus,,697549.0,
2001,2001,Czechia,,10232027.0,
2001,2001,Denmark,919.0,5349212.0,17.18010054
2001,2001,Estonia,,1392720.0,
2001,2001,Finland,,5181115.0,
2001,2001,France,120.0,60979315.0,
2001,2001,Germany,,82259540.0,
2001,2001,Greece,93.0,10835989.0,0.85825114
2001,2001,Hungary,,10200298.0,
2001,2001,Iceland,3.0,283361.0,1.05872014
2001,2001,Ireland,142.0,3832783.0,3.70487971
2001,2001,Italy,1805.0,56960692.0,3.16885195
2001,2001,Latvia,,2353384.0,
2001,2001,Lithuania,162.0,3486998.0,4.64583002
2001,2001,Luxembourg,,439000.0,
2001,2001,Malta,1.0,391415.0,0.25548331
2001,2001,Netherlands,8034.0,15987075.0,50.25309507
