Year,Country,Disease,Cases,Population,Incidence,Pop_Structure_0_14_Pct,Vaccination_Coverage_Pct
2007,Austria,Salmonellosis,3386.0,8282984.0,40.88,15.0,93.0
2007,Belgium,Salmonellosis,3930.0,10584534.0,37.13,15.0,93.0
2007,Bulgaria,Salmonellosis,1136.0,7572673.0,15.0,15.0,93.0
2007,Croatia,Salmonellosis,,4313530.0,,15.0,93.0
2007,Cyprus,Salmonellosis,158.0,757916.0,20.85,15.0,93.0
2007,Czechia,Salmonellosis,17655.0,10254233.0,172.17,16.1,94.0
2007,Denmark,Salmonellosis,1648.0,5447084.0,30.25,15.0,93.0
2007,Estonia,Salmonellosis,428.0,1342920.0,31.87,15.0,93.0
2007,Finland,Salmonellosis,2724.0,5276955.0,51.62,15.0,93.0
2007,France,Salmonellosis,5313.0,63645065.0,8.35,17.7,90.0
2007,Germany,Salmonellosis,55399.0,82314906.0,67.3,13.8,92.0
2007,Greece,Salmonellosis,706.0,11036008.0,6.4,15.0,93.0
2007,Hungary,Salmonellosis,6578.0,10066158.0,65.35,14.4,98.0
2007,Iceland,Salmonellosis,93.0,307672.0,30.23,15.0,93.0
2007,Ireland,Salmonellosis,440.0,4340118.0,10.14,15.0,93.0
2007,Italy,Salmonellosis,6730.0,58510725.0,11.5,12.7,94.0
2007,Latvia,Salmonellosis,619.0,2208840.0,28.02,15.0,93.0
2007,Liechtenstein,Salmonellosis,1.0,35168.0,2.84,15.0,93.0
2007,Lithuania,Salmonellosis,2270.0,3249983.0,69.85,15.0,93.0
2007,Luxembourg,Salmonellosis,163.0,476187.0,34.23,15.0,93.0
2007,Malta,Salmonellosis,85.0,405616.0,20.96,15.0,93.0
2007,Netherlands,Salmonellosis,2464.0,16357992.0,15.06,15.0,93.0
2007,Norway,Salmonellosis,1649.0,4681134.0,35.23,17.0,96.0
2007,Poland,Salmonellosis,11160.0,38125479.0,29.27,15.3,93.0
2007,Portugal,Salmonellosis,438.0,10532588.0,4.16,15.0,93.0
2007,Romania,Salmonellosis,620.0,21130503.0,2.93,15.0,93.0
2007,Slovakia,Salmonellosis,8367.0,5373180.0,155.72,15.8,95.0
2007,Slovenia,Salmonellosis,1336.0,2010377.0,66.46,15.0,93.0
2007,Spain,Salmonellosis,3842.0,44784666.0,8.58,14.2,95.0
2007,Sweden,Salmonellosis,3930.0,9113257.0,43.12,17.5,97.0
2007,United Kingdom,Salmonellosis,13557.0,61073279.0,22.2,17.8,91.0
2008,Austria,Salmonellosis,2312.0,8307989.0,27.83,15.0,93.0
2008,Belgium,Salmonellosis,3831.0,10666866.0,35.91,15.0,93.0
2008,Bulgaria,Salmonellosis,1516.0,7518002.0,20.16,15.0,93.0
2008,Croatia,Salmonellosis,,4311967.0,,15.0,93.0
2008,Cyprus,Salmonellosis,169.0,776333.0,21.77,15.0,93.0
2008,Czechia,Salmonellosis,10707.0,10343422.0,103.52,16.1,94.0
2008,Denmark,Salmonellosis,3669.0,5475791.0,67.0,15.0,93.0
2008,Estonia,Salmonellosis,647.0,1338440.0,48.34,15.0,93.0
2008,Finland,Salmonellosis,3127.0,5300484.0,58.99,15.0,93.0
2008,France,Salmonellosis,7186.0,64007193.0,11.23,17.7,90.0
2008,Germany,Salmonellosis,42885.0,82217837.0,52.16,13.8,92.0
2008,Greece,Salmonellosis,792.0,11060937.0,7.16,15.0,93.0
2008,Hungary,Salmonellosis,6637.0,10045401.0,66.07,14.4,98.0
2008,Iceland,Salmonellosis,134.0,315459.0,42.48,15.0,93.0
2008,Ireland,Salmonellosis,447.0,4457765.0,10.03,15.0,93.0
2008,Italy,Salmonellosis,6727.0,59001769.0,11.4,12.7,94.0
2008,Latvia,Salmonellosis,1229.0,2191810.0,56.07,15.0,93.0
2008,Liechtenstein,Salmonellosis,0.0,35356.0,0.0,15.0,93.0
2008,Lithuania,Salmonellosis,3308.0,3212605.0,102.97,15.0,93.0
2008,Luxembourg,Salmonellosis,153.0,483799.0,31.62,15.0,93.0
2008,Malta,Salmonellosis,161.0,407832.0,39.48,15.0,93.0
2008,Netherlands,Salmonellosis,1628.0,16405399.0,9.92,15.0,93.0
2008,Norway,Salmonellosis,1941.0,4737171.0,40.97,17.0,96.0
2008,Poland,Salmonellosis,9156.0,38115641.0,24.02,15.3,93.0
2008,Portugal,Salmonellosis,332.0,10553339.0,3.15,15.0,93.0
2008,Romania,Salmonellosis,624.0,20635460.0,3.02,15.0,93.0
2008,Slovakia,Salmonellosis,6849.0,5376064.0,127.4,15.8,95.0
2008,Slovenia,Salmonellosis,1033.0,2010269.0,51.39,15.0,93.0
2008,Spain,Salmonellosis,3833.0,45668939.0,8.39,14.2,95.0
2008,Sweden,Salmonellosis,4185.0,9182927.0,45.57,17.5,97.0
2008,United Kingdom,Salmonellosis,11511.0,61571647.0,18.7,17.8,91.0
2009,Austria,Salmonellosis,2775.0,8335003.0,33.29,15.0,93.0
2009,Belgium,Salmonellosis,3113.0,10753080.0,28.95,15.0,93.0
2009,Bulgaria,Salmonellosis,1247.0,7467119.0,16.7,15.0,93.0
2009,Croatia,Salmonellosis,,4309796.0,,15.0,93.0
2009,Cyprus,Salmonellosis,134.0,796930.0,16.81,15.0,93.0
2009,Czechia,Salmonellosis,10480.0,10425783.0,100.52,16.1,94.0
2009,Denmark,Salmonellosis,2130.0,5511451.0,38.65,15.0,93.0
2009,Estonia,Salmonellosis,261.0,1335740.0,19.54,15.0,93.0
2009,Finland,Salmonellosis,2327.0,5326314.0,43.69,15.0,93.0
2009,France,Salmonellosis,7153.0,64350226.0,11.12,17.7,90.0
2009,Germany,Salmonellosis,31395.0,82002356.0,38.29,13.8,92.0
2009,Greece,Salmonellosis,403.0,11094745.0,3.63,15.0,93.0
2009,Hungary,Salmonellosis,5873.0,10030975.0,58.55,14.4,98.0
2009,Iceland,Salmonellosis,35.0,319368.0,10.96,15.0,93.0
2009,Ireland,Salmonellosis,335.0,4521322.0,7.41,15.0,93.0
2009,Italy,Salmonellosis,5712.0,59420592.0,9.61,12.7,94.0
2009,Latvia,Salmonellosis,795.0,2162834.0,36.76,15.0,93.0
2009,Liechtenstein,Salmonellosis,,35589.0,,15.0,93.0
2009,Lithuania,Salmonellosis,2063.0,3183856.0,64.8,15.0,93.0
2009,Luxembourg,Salmonellosis,162.0,493500.0,32.83,15.0,93.0
2009,Malta,Salmonellosis,125.0,410926.0,30.42,15.0,93.0
2009,Netherlands,Salmonellosis,1204.0,16485787.0,7.3,15.0,93.0
2009,Norway,Salmonellosis,1235.0,4799252.0,25.73,17.0,96.0
2009,Poland,Salmonellosis,8537.0,38135876.0,22.39,15.3,93.0
2009,Portugal,Salmonellosis,220.0,10563014.0,2.08,15.0,93.0
2009,Romania,Salmonellosis,1105.0,20440290.0,5.41,15.0,93.0
2009,Slovakia,Salmonellosis,4182.0,5382401.0,77.7,15.8,95.0
2009,Slovenia,Salmonellosis,616.0,2032362.0,30.31,15.0,93.0
2009,Spain,Salmonellosis,4304.0,46239273.0,9.31,14.2,95.0
2009,Sweden,Salmonellosis,3054.0,9256347.0,32.99,17.5,97.0
2009,United Kingdom,Salmonellosis,10479.0,62042343.0,16.89,17.8,91.0
2010,Austria,Salmonellosis,2179.0,8351643.0,26.09,15.0,93.0
2010,Belgium,Salmonellosis,3169.0,10839905.0,29.23,15.0,93.0
2010,Bulgaria,Salmonellosis,1154.0,7421766.0,15.55,15.0,93.0
2010,Croatia,Salmonellosis,,4302847.0,,15.0,93.0
2010,Cyprus,Salmonellosis,136.0,819140.0,16.6,15.0,93.0
2010,Czechia,Salmonellosis,8209.0,10462088.0,78.46,16.1,94.0
2010,Denmark,Salmonellosis,1608.0,5534738.0,29.05,15.0,93.0
