Time,Year,RegionName,Cases,Population,Incidence
2007,2007,Austria,3386.0,8282984.0,40.87898757
2007,2007,Belgium,3930.0,10584534.0,
2007,2007,Bulgaria,1136.0,7572673.0,15.00130799
2007,2007,Croatia,,4313530.0,
2007,2007,Cyprus,158.0,757916.0,20.84663735
2007,2007,Czechia,17655.0,10254233.0,172.17279927
2007,2007,Denmark,1648.0,5447084.0,30.25471977
2007,2007,Estonia,428.0,1342920.0,31.87084859
2007,2007,Finland,2724.0,5276955.0,51.62067897
2007,2007,France,5313.0,63645065.0,17.39137197
2007,2007,Germany,55399.0,82314906.0,67.30129777
2007,2007,Greece,706.0,11036008.0,6.39724074
2007,2007,Hungary,6578.0,10066158.0,65.34767286
2007,2007,Iceland,93.0,307672.0,30.22699498
2007,2007,Ireland,440.0,4340118.0,10.1379732
2007,2007,Italy,6730.0,58510725.0,11.50216477
2007,2007,Latvia,619.0,2208840.0,28.02375907
2007,2007,Liechtenstein,1.0,35168.0,2.84349408
2007,2007,Lithuania,2270.0,3249983.0,69.84651919
2007,2007,Luxembourg,163.0,476187.0,34.23024988
2007,2007,Malta,85.0,405616.0,20.95578083
2007,2007,Netherlands,2464.0,16357992.0,23.53589609
2007,2007,Norway,1649.0,4681134.0,35.22650708
2007,2007,Poland,11160.0,38125479.0,29.27176337
2007,2007,Portugal,438.0,10532588.0,4.1585221
2007,2007,Romania,620.0,21130503.0,2.9341469
2007,2007,Slovakia,8367.0,5373180.0,155.71784306
2007,2007,Slovenia,1336.0,2010377.0,66.4551972
2007,2007,Spain,3842.0,44784666.0,
2007,2007,Sweden,3930.0,9113257.0,43.12398959
2007,2007,United Kingdom,13557.0,61073279.0,22.1979239
2008,2008,Austria,2312.0,8307989.0,27.82863578
2008,2008,Belgium,3831.0,10666866.0,
2008,2008,Bulgaria,1516.0,7518002.0,20.16493211
2008,2008,Croatia,,4311967.0,
2008,2008,Cyprus,169.0,776333.0,21.76900891
2008,2008,Czechia,10707.0,10343422.0,103.51506493
2008,2008,Denmark,3669.0,5475791.0,67.00401823
2008,2008,Estonia,647.0,1338440.0,48.33985834
2008,2008,Finland,3127.0,5300484.0,58.99461256
2008,2008,France,7186.0,64007193.0,23.38929834
2008,2008,Germany,42885.0,82217837.0,52.16021433
2008,2008,Greece,792.0,11060937.0,7.1603337
2008,2008,Hungary,6637.0,10045401.0,66.07003543
2008,2008,Iceland,134.0,315459.0,42.47778633
2008,2008,Ireland,447.0,4457765.0,10.02744648
2008,2008,Italy,6727.0,59001769.0,11.40135306
2008,2008,Latvia,1229.0,2191810.0,56.07237853
2008,2008,Liechtenstein,0.0,35356.0,0.0
2008,2008,Lithuania,3308.0,3212605.0,102.9693971
2008,2008,Luxembourg,153.0,483799.0,31.62470364
2008,2008,Malta,161.0,407832.0,39.47703956
2008,2008,Netherlands,1628.0,16405399.0,15.50556618
2008,2008,Norway,1941.0,4737171.0,40.97382171
2008,2008,Poland,9156.0,38115641.0,24.02163458
2008,2008,Portugal,332.0,10553339.0,3.14592376
2008,2008,Romania,624.0,20635460.0,3.02392095
2008,2008,Slovakia,6849.0,5376064.0,127.39803692
2008,2008,Slovenia,1033.0,2010269.0,51.38615777
2008,2008,Spain,3833.0,45668939.0,
2008,2008,Sweden,4185.0,9182927.0,45.57370433
2008,2008,United Kingdom,11511.0,61571647.0,18.6952933
2009,2009,Austria,2775.0,8335003.0,33.29332934
2009,2009,Belgium,3113.0,10753080.0,
2009,2009,Bulgaria,1247.0,7467119.0,16.69988117
2009,2009,Croatia,,4309796.0,
2009,2009,Cyprus,134.0,796930.0,16.81452574
2009,2009,Czechia,10480.0,10425783.0,100.52002808
2009,2009,Denmark,2130.0,5511451.0,38.64681006
2009,2009,Estonia,261.0,1335740.0,19.53973078
2009,2009,Finland,2327.0,5326314.0,43.68874985
2009,2009,France,7153.0,64350226.0,23.15777932
2009,2009,Germany,31395.0,82002356.0,38.28548535
2009,2009,Greece,403.0,11094745.0,3.63235027
2009,2009,Hungary,5873.0,10030975.0,58.54864557
2009,2009,Iceland,35.0,319368.0,10.95914431
2009,2009,Ireland,335.0,4521322.0,7.40933735
