Time,Year,RegionName,Cases,Population,Incidence
1995,1995,Austria,1479.0,7943489.0,18.61902244
1995,1995,Belgium,1380.0,10130574.0,13.62213039
1995,1995,Bulgaria,3245.0,8427418.0,38.50526934
1995,1995,Croatia,2114.0,4658893.0,45.375586
1995,1995,Cyprus,36.0,645399.0,5.5779448
1995,1995,Czechia,1851.0,10333161.0,17.91320197
1995,1995,Denmark,448.0,5215718.0,8.58942143
1995,1995,Estonia,608.0,1448075.0,41.98677554
1995,1995,Finland,585.0,5098754.0,11.47339134
1995,1995,France,8723.0,59315139.0,14.70619499
1995,1995,Germany,12198.0,81538603.0,14.95978536
1995,1995,Greece,939.0,10535973.0,8.91232352
1995,1995,Hungary,4339.0,10336700.0,41.97664631
1995,1995,Iceland,12.0,266978.0,4.49475237
1995,1995,Ireland,458.0,3597617.0,12.7306492
1995,1995,Italy,5225.0,56844408.0,9.19175726
1995,1995,Latvia,1541.0,2500580.0,61.62570283
1995,1995,Liechtenstein,1.0,30629.0,3.26487968
1995,1995,Lithuania,2362.0,3642991.0,64.83683325
1995,1995,Luxembourg,32.0,405650.0,7.88857389
1995,1995,Malta,10.0,376433.0,2.65651523
1995,1995,Netherlands,1619.0,15424122.0,10.4965456
1995,1995,Norway,236.0,4348410.0,5.42727111
1995,1995,Poland,15959.0,38580597.0,41.36535264
1995,1995,Portugal,5577.0,10008659.0,55.72175053
1995,1995,Romania,23271.0,22712394.0,102.45947653
1995,1995,Slovakia,1540.0,5356207.0,28.75168939
1995,1995,Slovenia,525.0,1989477.0,26.3888449
1995,1995,Spain,8764.0,39639726.0,22.10913365
1995,1995,Sweden,564.0,8816381.0,6.39718269
1995,1995,United Kingdom,6161.0,57943472.0,10.63277671
1996,1996,Austria,1488.0,7953067.0,18.70976316
1996,1996,Belgium,1352.0,10143047.0,13.32932796
1996,1996,Bulgaria,3109.0,8384715.0,37.07937598
1996,1996,Croatia,2174.0,4581167.0,47.45515716
1996,1996,Cyprus,24.0,656333.0,3.65668037
1996,1996,Czechia,1936.0,10321344.0,18.75724711
1996,1996,Denmark,484.0,5251027.0,9.21724455
1996,1996,Estonia,683.0,1425192.0,47.92336751
1996,1996,Finland,601.0,5116826.0,11.74556258
1996,1996,France,7656.0,59522297.0,12.86240683
1996,1996,Germany,11814.0,81817499.0,14.43945383
1996,1996,Greece,945.0,10588332.0,8.92491848
1996,1996,Hungary,4278.0,10321229.0,41.44855229
1996,1996,Iceland,11.0,267958.0,4.10512095
1996,1996,Ireland,434.0,3620065.0,11.988735
1996,1996,Italy,5152.0,56844197.0,9.06337018
1996,1996,Latvia,1761.0,2469531.0,71.30908662
1996,1996,Liechtenstein,0.0,30923.0,0.0
1996,1996,Lithuania,2608.0,3615212.0,72.13961449
1996,1996,Luxembourg,36.0,411600.0,8.74635568
1996,1996,Malta,29.0,378404.0,7.66376676
1996,1996,Netherlands,1678.0,15493889.0,10.83007629
1996,1996,Norway,217.0,4369957.0,4.96572391
1996,1996,Poland,15358.0,38609399.0,39.77787895
1996,1996,Portugal,5248.0,10043693.0,52.25169666
1996,1996,Romania,24113.0,22656145.0,106.43028635
1996,1996,Slovakia,1499.0,5367790.0,27.92583167
1996,1996,Slovenia,563.0,1990266.0,28.28767611
1996,1996,Spain,8331.0,39808374.0,20.92775756
1996,1996,Sweden,493.0,8837496.0,5.57850323
1996,1996,United Kingdom,6240.0,58094587.0,10.74110398
1997,1997,Austria,1396.0,7964966.0,17.52675403
1997,1997,Belgium,1263.0,10170226.0,12.41860308
1997,1997,Bulgaria,3437.0,8340936.0,41.20640657
